"Assembly_No","Party","Count"
1,"INC",113
1,"SWA",26
1,"IND",7
1,"PSP",7
1,"NJP",1
2,"INC",93
2,"SWA",66
2,"IND",5
2,"PSP",3
2,"BJS",1
3,"INC",140
3,"NCO",16
3,"IND",8
3,"BJS",3
3,"CPI",1
4,"INC",75
4,"NCO",56
4,"BJS",18
4,"IND",15
4,"KLP",12
4,"BLD",2
4,"SP",2
4,"RMP",1
5,"INC(I)",141
5,"JNP(JP)",21
5,"IND",10
5,"BJP",9
5,"JNP(SC)",1
6,"INC",149
6,"JNP",14
6,"BJP",11
6,"IND",8
7,"JD",70
7,"BJP",67
7,"INC",33
7,"IND",11
7,"YVP",1
8,"BJP",121
8,"INC",45
8,"IND",16
9,"BJP",117
9,"INC",53
9,"JD",4
9,"AIRJP",4
9,"IND",3
9,"SP",1
10,"BJP",127
10,"INC",51
10,"IND",2
10,"JD(U)",2
11,"BJP",116
11,"INC",59
11,"NCP",3
11,"IND",2
11,"JD(U)",1
11,"BJNKP",1
12,"BJP",115
12,"INC",61
12,"NCP",2
12,"GPP",2
12,"IND",1
12,"JD(U)",1
